date,state,city,avg_temperature,rainfall,humidity,wind_speed,cloud_cover,aqi,year,month,week,season,stress_level
2024-01-01,Maharashtra,Mumbai,25.2,0.0,77.6,3.3,62.1,259,2024,1,1,winter,Mild Stress
2024-01-01,Delhi,Delhi,18.1,0.0,84.1,9.0,46.0,130,2024,1,1,winter,Healthy
2024-01-01,Karnataka,Bengaluru,34.0,3.7,49.0,6.6,61.3,54,2024,1,1,winter,Healthy
2024-01-01,Tamil Nadu,Chennai,33.8,9.5,34.2,9.0,70.0,176,2024,1,1,winter,Healthy
2024-01-01,West Bengal,Kolkata,22.5,9.1,32.2,9.2,56.9,97,2024,1,1,winter,Healthy
2024-01-01,Telangana,Hyderabad,38.0,15.75,91.1,4.0,9.3,140,2024,1,1,winter,Severe Stress
2024-01-01,Gujarat,Ahmedabad,28.9,0.0,83.9,5.2,12.1,345,2024,1,1,winter,Mild Stress
2024-01-01,Rajasthan,Jaipur,37.0,8.2,30.4,19.7,39.1,75,2024,1,1,winter,Healthy
2024-01-01,Uttar Pradesh,Lucknow,36.6,0.0,51.5,18.8,89.3,186,2024,1,1,winter,Mild Stress
2024-01-01,Madhya Pradesh,Bhopal,21.3,0.0,79.5,14.0,7.4,73,2024,1,1,winter,Mild Stress
2024-01-02,Maharashtra,Mumbai,19.9,0.0,50.4,11.4,26.7,63,2024,1,1,winter,Healthy
2024-01-02,Delhi,Delhi,27.5,15.75,90.4,20.5,89.8,207,2024,1,1,winter,Mild Stress
2024-01-02,Karnataka,Bengaluru,34.2,0.0,50.7,20.8,5.7,198,2024,1,1,winter,Severe Stress
2024-01-02,Tamil Nadu,Chennai,29.7,0.0,37.8,13.9,39.5,341,2024,1,1,winter,Mild Stress
2024-01-02,West Bengal,Kolkata,40.5,0.0,62.3,16.0,9.9,126,2024,1,1,winter,Severe Stress
2024-01-02,Telangana,Hyderabad,39.5,0.0,39.4,17.5,27.6,265,2024,1,1,winter,Severe Stress
2024-01-02,Gujarat,Ahmedabad,26.7,5.4,71.2,9.4,8.9,223,2024,1,1,winter,Healthy
2024-01-02,Rajasthan,Jaipur,36.0,0.0,63.3,17.9,94.0,82,2024,1,1,winter,Mild Stress
2024-01-02,Uttar Pradesh,Lucknow,28.8,8.8,90.1,20.8,55.3,114,2024,1,1,winter,Mild Stress
2024-01-02,Madhya Pradesh,Bhopal,19.9,0.0,88.5,18.7,89.3,281,2024,1,1,winter,Severe Stress
2024-01-03,Maharashtra,Mumbai,34.9,0.0,40.5,4.3,5.5,89,2024,1,1,winter,Mild Stress
2024-01-03,Delhi,Delhi,30.0,0.0,72.4,9.5,66.7,303,2024,1,1,winter,Mild Stress
2024-01-03,Karnataka,Bengaluru,32.8,0.0,36.1,24.4,89.7,235,2024,1,1,winter,Severe Stress
2024-01-03,Tamil Nadu,Chennai,35.9,5.0,67.5,8.5,66.3,94,2024,1,1,winter,Healthy
2024-01-03,West Bengal,Kolkata,36.5,11.1,89.5,11.8,96.5,304,2024,1,1,winter,Severe Stress
